provinsi,sekolah,siswa,mengulang,putus_sekolah,kepala_sekolah_&_guru,tenaga_kependidikan,rombel,ruang_kelas,status,tahun,jenjang
Kalimantan Utara,157,29610,90,31,2451,388,1136,1272,Negeri,2024,SMP
Kalimantan Barat,351,44626,173,133,2452,311,1764,2183,Swasta,2024,SMP
Kalimantan Tengah,158,19368,33,27,1285,130,786,901,Swasta,2024,SMP
Kalimantan Selatan,111,13843,9,10,1064,172,580,787,Swasta,2024,SMP
Kalimantan Timur,258,32617,42,23,2123,391,1328,1762,Swasta,2024,SMP
Kalimantan Utara,41,3867,3,3,331,68,173,219,Swasta,2024,SMP
Kalimantan Barat,267,100510,0,200,5309,672,3208,3564,Negeri,2021,SMA
Kalimantan Tengah,181,54893,0,92,4202,447,1945,2259,Negeri,2021,SMA
Kalimantan Selatan,141,59912,0,90,4067,811,2010,2180,Negeri,2021,SMA
Kalimantan Timur,142,65859,0,48,3908,929,2069,2552,Negeri,2021,SMA
Kalimantan Utara,44,14828,0,19,1107,222,515,551,Negeri,2021,SMA
Kalimantan Barat,181,30684,0,133,1967,217,1119,1430,Swasta,2021,SMA
Kalimantan Tengah,60,5741,0,3,623,71,310,418,Swasta,2021,SMA
Kalimantan Selatan,61,7002,0,22,703,120,308,447,Swasta,2021,SMA
Kalimantan Timur,86,12905,0,82,944,176,519,662,Swasta,2021,SMA
Kalimantan Utara,22,2834,0,1,243,46,127,165,Swasta,2021,SMA
Kalimantan Barat,273,100690,0,104,5810,719,3250,3236,Negeri,2022,SMA
Kalimantan Tengah,181,54913,0,94,4296,450,1952,2082,Negeri,2022,SMA
Kalimantan Selatan,142,59613,0,45,4137,898,2001,2120,Negeri,2022,SMA
Kalimantan Timur,143,66986,0,59,4008,908,2076,2101,Negeri,2022,SMA
Kalimantan Utara,44,15292,0,14,1108,229,528,530,Negeri,2022,SMA
Kalimantan Barat,186,29550,0,63,1879,225,1111,1360,Swasta,2022,SMA
Kalimantan Tengah,61,6201,0,10,604,62,327,361,Swasta,2022,SMA
Kalimantan Selatan,63,6852,0,17,703,131,311,426,Swasta,2022,SMA
Kalimantan Timur,90,13234,0,16,969,198,531,641,Swasta,2022,SMA
Kalimantan Utara,23,2923,0,2,243,51,127,162,Swasta,2022,SMA
Kalimantan Barat,285,102734,225,140,6310,762,3288,3378,Negeri,2023,SMA
Kalimantan Tengah,181,56103,186,91,4308,427,1939,2108,Negeri,2023,SMA
Kalimantan Selatan,142,60883,152,66,4155,933,1973,2147,Negeri,2023,SMA
Kalimantan Timur,145,68792,122,55,4149,947,2106,2157,Negeri,2023,SMA
Kalimantan Utara,46,16080,23,30,1159,246,541,570,Negeri,2023,SMA
Kalimantan Barat,187,29833,70,111,1849,225,1116,1386,Swasta,2023,SMA
Kalimantan Tengah,64,6568,20,7,629,65,327,370,Swasta,2023,SMA
Kalimantan Selatan,65,7281,20,5,684,135,305,442,Swasta,2023,SMA
Kalimantan Timur,92,13541,17,7,1024,213,525,680,Swasta,2023,SMA
Kalimantan Utara,22,2806,38,11,230,52,120,157,Swasta,2023,SMA
Kalimantan Barat,292,104524,195,133,6846,827,3321,3483,Negeri,2024,SMA
Kalimantan Tengah,182,57290,167,83,4411,430,1913,2233,Negeri,2024,SMA
Kalimantan Selatan,143,62605,93,20,4167,1094,1967,2230,Negeri,2024,SMA
Kalimantan Timur,146,71034,106,32,4295,957,2129,2243,Negeri,2024,SMA
Kalimantan Utara,49,17242,13,17,1189,257,553,588,Negeri,2024,SMA
Kalimantan Barat,191,30123,104,78,1704,213,1103,1405,Swasta,2024,SMA
Kalimantan Tengah,66,6656,24,15,635,65,316,388,Swasta,2024,SMA
Kalimantan Selatan,67,7426,17,14,688,155,308,466,Swasta,2024,SMA
Kalimantan Timur,95,13566,17,25,1069,230,516,693,Swasta,2024,SMA
Kalimantan Utara,22,2631,13,22,241,57,108,157,Swasta,2024,SMA
Kalimantan Barat,107,62165,0,171,2831,355,1891,1742,Negeri,2021,SMK
Kalimantan Tengah,93,30495,0,99,2375,266,1172,1225,Negeri,2021,SMK
Kalimantan Selatan,63,47437,0,120,2834,674,1461,1371,Negeri,2021,SMK
Kalimantan Timur,87,57403,0,24,3218,705,1707,1834,Negeri,2021,SMK
Kalimantan Utara,21,10286,0,31,702,146,331,395,Negeri,2021,SMK
Kalimantan Barat,114,22181,0,87,1356,171,873,1080,Swasta,2021,SMK
Kalimantan Tengah,44,6322,0,20,581,61,289,362,Swasta,2021,SMK
Kalimantan Selatan,64,14078,0,20,1093,257,593,702,Swasta,2021,SMK
Kalimantan Timur,131,29088,0,32,1775,427,1261,1602,Swasta,2021,SMK
Kalimantan Utara,11,1119,0,5,131,15,52,81,Swasta,2021,SMK
Kalimantan Barat,110,56239,0,148,3053,396,1946,1564,Negeri,2022,SMK
Kalimantan Tengah,94,27875,0,92,2475,256,1164,1191,Negeri,2022,SMK
Kalimantan Selatan,63,42514,0,85,2984,735,1477,1323,Negeri,2022,SMK
Kalimantan Timur,87,52654,0,25,3321,726,1723,1504,Negeri,2022,SMK
Kalimantan Utara,21,9409,0,13,720,154,345,349,Negeri,2022,SMK
Kalimantan Barat,118,19663,0,75,1299,187,863,985,Swasta,2022,SMK
Kalimantan Tengah,45,6047,0,13,574,57,293,328,Swasta,2022,SMK
Kalimantan Selatan,63,12805,0,36,1040,247,582,673,Swasta,2022,SMK
Kalimantan Timur,129,28082,0,30,1738,438,1250,1400,Swasta,2022,SMK
Kalimantan Utara,11,1040,0,3,118,18,48,67,Swasta,2022,SMK
Kalimantan Barat,117,56973,276,162,3361,433,2006,1650,Negeri,2023,SMK
Kalimantan Tengah,94,27041,59,97,2467,248,1144,1248,Negeri,2023,SMK
Kalimantan Selatan,64,42920,83,93,2962,797,1501,1356,Negeri,2023,SMK
Kalimantan Timur,88,54574,208,55,3393,766,1774,1541,Negeri,2023,SMK
Kalimantan Utara,22,9519,40,19,757,161,357,377,Negeri,2023,SMK
Kalimantan Barat,116,18768,106,160,1171,183,834,1005,Swasta,2023,SMK
Kalimantan Tengah,45,6125,17,10,583,53,292,337,Swasta,2023,SMK
Kalimantan Selatan,64,12518,33,16,1044,251,573,686,Swasta,2023,SMK
Kalimantan Timur,129,28536,290,62,1738,477,1268,1403,Swasta,2023,SMK
Kalimantan Utara,12,938,0,1,142,21,51,71,Swasta,2023,SMK
Kalimantan Barat,120,57640,281,156,3721,483,2071,1708,Negeri,2024,SMK
Kalimantan Tengah,94,26818,90,32,2517,256,1152,1252,Negeri,2024,SMK
Kalimantan Selatan,64,44019,52,21,3026,849,1545,1352,Negeri,2024,SMK
Kalimantan Timur,88,55536,240,28,3524,785,1798,1647,Negeri,2024,SMK
Kalimantan Utara,22,9644,6,14,751,165,367,377,Negeri,2024,SMK
Kalimantan Barat,115,17824,103,96,1029,194,813,1002,Swasta,2024,SMK
Kalimantan Tengah,45,6010,25,2,549,57,291,330,Swasta,2024,SMK
Kalimantan Selatan,62,13063,36,14,1007,245,582,719,Swasta,2024,SMK
Kalimantan Timur,128,29082,205,27,1698,482,1281,1427,Swasta,2024,SMK
Kalimantan Utara,12,917,2,3,124,20,53,70,Swasta,2024,SMK
