Provinsi,Sekolah,Siswa,Mengulang,Putus Sekolah,Kepala Sekolah & Guru,Tenaga Kependidikan,Rombel,Ruang Kelas,Status
Prov. Kalimantan Tengah,45,6125,17,10,583,53,292,337,Swasta
Prov. Kalimantan Selatan,64,12518,33,16,1044,251,573,686,Swasta
Prov. Kalimantan Timur,129,28536,290,62,1738,477,1268,1403,Swasta
Prov. Sulawesi Utara,100,12624,186,169,1006,113,798,1027,Swasta
Prov. Sulawesi Tengah,75,9889,138,34,812,143,535,604,Swasta
Prov. Sulawesi Selatan,238,33178,445,407,2503,430,1826,2190,Swasta
Prov. Sulawesi Tenggara,66,5513,13,202,632,51,375,417,Swasta
Prov. Maluku,36,6062,24,8,543,45,315,295,Swasta
Prov. Bali,113,34998,9,26,2067,446,1311,1560,Swasta
Prov. Nusa Tenggara Barat,230,23135,213,370,2325,177,1089,1184,Swasta
Prov. Nusa Tenggara Timur,169,43204,71,1199,3088,285,1841,1837,Swasta
Prov. Papua,14,3930,105,26,290,50,177,160,Swasta
Prov. Bengkulu,38,3418,31,84,411,82,206,268,Swasta
Prov. Maluku Utara,87,9474,99,128,646,62,477,476,Swasta
Prov. Banten,633,159985,258,421,9019,2240,5956,6966,Swasta
Prov. Kepulauan Bangka Belitung,23,5239,6,25,358,105,214,282,Swasta
Prov. Gorontalo,19,2352,4,20,254,51,138,168,Swasta
Prov. Kepulauan Riau,68,9491,23,26,747,120,545,713,Swasta
Prov. Papua Barat,5,1449,60,35,116,14,60,50,Swasta
Prov. Sulawesi Barat,70,6469,60,101,623,147,369,413,Swasta
Prov. Kalimantan Utara,12,938,0,1,142,21,51,71,Swasta
Prov. Papua Tengah,35,5928,49,79,477,63,285,294,Swasta
Prov. Papua Selatan,4,707,6,1,58,10,40,49,Swasta
Prov. Papua Pegunungan,9,2699,110,20,120,11,87,93,Swasta
Prov. Papua Barat Daya,22,3415,58,16,281,33,161,154,Swasta
