Provinsi,Sekolah,Siswa,Mengulang,Putus Sekolah,Kepala Sekolah & Guru,Tenaga Kependidikan,Rombel,Ruang Kelas,Status
Prov. D.K.I. Jakarta,1308,546713,0,457,23488,2527,18523,17044,Negeri
Prov. Jawa Barat,17302,3883339,0,4767,160813,12971,141935,125154,Negeri
Prov. Jawa Tengah,17472,2322013,0,2043,139771,12541,114300,117530,Negeri
Prov. D.I. Yogyakarta,1423,190728,0,51,13372,2083,9849,10235,Negeri
Prov. Jawa Timur,16980,2184504,0,2155,146145,12935,116523,119014,Negeri
Prov. Aceh,3336,451027,0,993,42509,3572,23750,24534,Negeri
Prov. Sumatera Utara,8205,1204565,0,3005,83604,6808,60483,61135,Negeri
Prov. Sumatera Barat,3962,531193,0,730,38468,5563,28254,28612,Negeri
Prov. Riau,3221,634909,0,868,39682,3836,28814,27740,Negeri
Prov. Jambi,2308,335196,0,626,22834,2694,17282,17215,Negeri
Prov. Sumatera Selatan,4252,796801,0,1796,50140,5773,36132,33374,Negeri
Prov. Lampung,4314,719438,0,775,48403,3596,34428,33290,Negeri
Prov. Kalimantan Barat,4139,504176,0,977,32505,2249,28585,27334,Negeri
Prov. Kalimantan Tengah,2412,232282,0,459,20698,1112,15682,16032,Negeri
Prov. Kalimantan Selatan,2740,323293,0,515,25204,2443,19179,19697,Negeri
Prov. Kalimantan Timur,1652,346884,0,567,20778,3007,15572,14270,Negeri
Prov. Sulawesi Utara,1344,132584,0,294,11378,486,8746,9054,Negeri
Prov. Sulawesi Tengah,2670,281651,0,926,22424,4052,17320,18075,Negeri
Prov. Sulawesi Selatan,6082,811242,0,1675,59957,7373,43229,42338,Negeri
Prov. Sulawesi Tenggara,2257,279295,0,678,22474,2149,15899,16032,Negeri
Prov. Maluku,1276,148988,0,465,12262,1171,8423,8682,Negeri
Prov. Bali,2265,343632,0,154,20906,3806,15696,15715,Negeri
Prov. Nusa Tenggara Barat,3011,472110,0,944,36365,2833,21664,20622,Negeri
Prov. Nusa Tenggara Timur,3378,417555,0,2303,33146,3567,23660,25593,Negeri
Prov. Papua,1664,288283,0,1738,11097,565,11475,10829,Negeri
Prov. Bengkulu,1290,173543,0,266,13072,1379,9439,10155,Negeri
Prov. Maluku Utara,1110,117634,0,493,9338,842,7100,7315,Negeri
Prov. Banten,3895,996698,0,1221,41415,3322,35440,31242,Negeri
Prov. Kepulauan Bangka Belitung,760,146317,0,219,7932,1816,6122,6527,Negeri
Prov. Gorontalo,896,103914,0,514,7213,825,5827,6402,Negeri
Prov. Kepulauan Riau,684,154066,0,167,8810,1701,6704,5698,Negeri
Prov. Papua Barat,700,82955,0,342,6038,302,4907,4575,Negeri
Prov. Sulawesi Barat,1297,139578,0,399,12200,2211,8723,8594,Negeri
Prov. Kalimantan Utara,437,69072,0,138,5076,616,3683,3443,Negeri
Luar Negeri,87,10972,0,64,348,13,615,539,Negeri
Prov. D.K.I. Jakarta,931,218377,0,358,14661,1949,9696,10945,Swasta
Prov. Jawa Barat,2357,567595,0,505,33335,3666,24052,25816,Swasta
Prov. Jawa Tengah,1288,309161,0,169,16157,1932,13212,13913,Swasta
Prov. D.I. Yogyakarta,425,83710,0,48,5254,833,3890,4056,Swasta
Prov. Jawa Timur,2027,395409,0,499,22877,2279,18310,19125,Swasta
Prov. Aceh,193,35931,0,67,2538,248,1635,1692,Swasta
Prov. Sumatera Utara,1577,344087,0,762,16967,1347,14187,14787,Swasta
Prov. Sumatera Barat,298,66025,0,48,4173,536,2927,3087,Swasta
Prov. Riau,570,138617,0,183,8071,677,5862,6037,Swasta
Prov. Jambi,155,33498,0,38,2031,196,1498,1527,Swasta
Prov. Sumatera Selatan,444,85733,0,91,5207,642,3960,4101,Swasta
Prov. Lampung,418,80181,0,74,4894,476,3750,3895,Swasta
Prov. Kalimantan Barat,299,61472,0,115,3056,313,2583,2669,Swasta
Prov. Kalimantan Tengah,236,42758,0,90,2328,189,1863,1950,Swasta
Prov. Kalimantan Selatan,175,33626,0,19,2235,210,1544,1649,Swasta
Prov. Kalimantan Timur,267,65345,0,72,3444,447,2766,2893,Swasta
Prov. Sulawesi Utara,859,82653,0,175,5259,188,5486,5712,Swasta
Prov. Sulawesi Tengah,256,26071,0,87,1906,209,1704,1731,Swasta
Prov. Sulawesi Selatan,356,68935,0,136,4386,354,3160,3294,Swasta
Prov. Sulawesi Tenggara,88,12428,0,52,782,83,648,613,Swasta
Prov. Maluku,536,59008,0,189,3954,265,3383,3575,Swasta
Prov. Bali,151,39232,0,14,2412,318,1657,1728,Swasta
Prov. Nusa Tenggara Barat,298,37359,0,149,2605,222,1980,1877,Swasta
Prov. Nusa Tenggara Timur,1825,251670,0,1160,16217,1787,12961,14625,Swasta
Prov. Papua,978,184269,0,1104,6708,409,7084,7153,Swasta
Prov. Bengkulu,108,20838,0,20,1584,158,980,1003,Swasta
Prov. Maluku Utara,205,22930,0,41,1398,102,1281,1306,Swasta
Prov. Banten,739,189185,0,176,10932,933,7964,8759,Swasta
Prov. Kepulauan Bangka Belitung,72,16405,0,12,935,179,674,708,Swasta
Prov. Gorontalo,32,4228,0,4,253,29,215,214,Swasta
Prov. Kepulauan Riau,289,71509,0,104,4268,411,3039,3364,Swasta
Prov. Papua Barat,404,48216,0,242,2694,195,2740,2744,Swasta
Prov. Sulawesi Barat,29,4415,0,3,243,41,238,217,Swasta
Prov. Kalimantan Utara,48,9457,0,24,558,75,426,418,Swasta
Luar Negeri,42,5216,0,9,149,1,270,229,Swasta
